account_no,cust_id,balance,type,creation_date,status
1000000,1,705265.44,saving,2023-05-28,active
1000001,2,351316.38,saving,2009-05-13,active
1000002,3,978597.04,current,2025-02-18,active
1000003,3,849693.11,current,2025-01-16,active
1000004,4,784616.95,current,2025-02-20,inactive
1000005,4,557996.77,current,2024-12-25,active
1000006,4,186746.64,saving,2024-12-21,active
1000007,5,136194.26,saving,2013-11-19,active
1000008,5,421431.9,current,2007-11-07,active
1000009,5,423055.91,current,2012-06-13,active
1000010,6,796128.32,saving,2018-04-20,active
1000011,7,865495.47,current,2023-07-20,inactive
1000012,7,487967.79,current,2024-07-13,active
1000013,8,90779.22,saving,2024-06-28,active
1000014,8,10166.99,current,2023-12-10,active
1000015,8,836167.99,saving,2024-04-04,active
1000016,9,975354.04,saving,1996-11-30,active
1000017,9,913756.48,saving,1994-04-13,active
1000018,9,840451.12,saving,2002-08-02,active
1000019,10,121364.32,current,2020-10-27,active
1000020,11,528629.08,saving,2019-06-19,inactive
1000021,11,576861.82,current,2013-06-02,active
1000022,12,797870.04,saving,2024-08-18,active
1000023,12,737413.36,saving,2024-01-01,active
1000024,13,744693.38,saving,2022-01-14,inactive
1000025,14,114921.59,current,2019-11-22,active
1000026,14,102918.48,current,2020-10-01,active
1000027,14,689814.97,current,2023-12-28,active
1000028,15,857581.8,saving,2024-12-10,active
1000029,15,365152.63,current,2024-12-31,inactive
1000030,15,433037.8,saving,2024-09-26,active
1000031,16,484812.03,current,2022-08-13,active
1000032,16,391685.16,current,2022-08-06,active
1000033,17,369573.93,current,2013-10-09,active
1000034,18,96906.17,saving,2024-12-02,active
1000035,19,260272.76,saving,2025-03-15,active
1000036,19,947495.4,current,2024-09-09,active
1000037,20,835420.34,current,2015-05-22,active
1000038,20,144620.38,current,2020-04-30,active
1000039,20,414217.21,saving,2011-08-01,active
1000040,21,534986.15,current,2005-12-19,active
1000041,21,691206.6,current,1994-05-07,inactive
1000042,21,267032.38,current,2023-05-15,active
1000043,22,814102.92,current,2007-12-01,active
1000044,22,506279.86,current,2007-06-16,active
1000045,23,321390.93,current,2025-02-05,active
1000046,24,244537.84,saving,2014-08-20,inactive
1000047,24,314973.76,saving,2012-07-22,active
1000048,24,751021.18,current,2019-06-16,active
1000049,25,130031.14,saving,2020-11-14,active
1000050,25,382829.27,saving,2001-04-05,active
1000051,26,224174.91,current,2018-07-10,active
1000052,26,135658.94,saving,2021-01-16,active
1000053,26,719616.84,saving,2023-10-16,active
1000054,27,323377.17,current,2024-08-24,active
1000055,27,992404.35,saving,2024-09-27,active
1000056,28,509368.22,saving,2025-03-15,inactive
1000057,28,549242.29,current,2025-03-13,active
1000058,28,212000.63,current,2025-03-15,inactive
1000059,29,318075.18,current,2024-12-19,active
1000060,30,371198.86,current,2017-09-24,active
1000061,30,40979.0,saving,2020-01-14,active
1000062,31,746401.64,current,2020-06-01,active
1000063,32,363466.6,current,2024-02-25,active
1000064,33,391651.99,current,1996-09-13,active
1000065,33,457816.94,saving,1986-07-16,active
1000066,33,784469.11,current,1990-03-23,active
1000067,34,408387.78,saving,2021-12-13,active
1000068,35,806355.84,current,2017-10-03,active
1000069,36,432439.33,current,2025-01-05,active
1000070,36,998136.43,saving,2023-11-26,active
1000071,37,48148.42,saving,2014-01-14,active
1000072,37,843047.73,current,2020-05-11,active
1000073,38,677980.0,saving,2023-07-26,active
1000074,38,809053.77,current,2024-11-03,active
