card_acc_no,card_no,cust_id,valid_thru,cvv,cred_limit,outstanding
1,630423833643,2573,09/33,591,5107.25,42348.42
2,4423624278024,1189,05/30,832,48077.08,33836.16
3,4723722722698575,2154,06/31,169,5868.44,5149.01
4,2278251160428579,2872,12/27,913,34188.21,40515.14
5,676111731631,274,08/31,250,21832.73,33511.19
6,4713742779275345243,939,07/27,665,43197.65,32251.39
7,341871394179917,1220,11/25,140,17465.21,30135.21
8,3546430004327338,2399,01/26,972,21007.86,24325.14
9,4806370059459,376,09/32,2467,1520.52,27893.17
10,3565772924475317,2929,10/28,168,35998.64,43236.18
11,4055365358914961,1104,07/30,739,15705.72,30913.33
12,4226004000904,1330,06/32,038,43718.4,45054.46
13,4118250119266544,1680,08/28,1719,46210.66,46263.35
14,3526231267648020,2550,01/33,241,28784.15,33964.94
15,4926694811303224,2382,09/26,345,35944.3,15887.42
16,5284336159380553,1884,04/31,9758,14579.42,35244.17
17,6598387862823677,2511,03/33,718,35741.09,25860.69
18,3506379271027196,2843,02/26,120,26873.46,35558.29
19,3568927212286456,758,07/33,913,43303.67,15490.31
20,4338690268770956561,2619,02/27,226,44750.24,42910.18
21,6011947372116034,579,06/30,270,33970.62,35484.54
22,4775384699180,1577,03/33,654,46064.0,39476.89
23,213174522926118,107,04/26,662,14383.7,3729.07
24,3594166208369111,2519,08/26,966,7320.39,13660.42
25,180069653491537,2686,10/26,173,12557.12,21406.05
26,4132969745217553,595,06/27,332,28898.93,10682.13
27,3539337391028297,984,02/34,831,12581.41,47387.24
28,30533065044608,1484,10/25,206,48676.43,49079.34
29,6501387528521117,2281,09/26,314,31109.43,4610.1
30,4188227541915059819,1395,07/34,063,43230.43,48272.33
31,377264521703394,2178,09/26,796,49506.2,20922.64
32,6011457706966955,2773,03/29,748,14468.96,41834.89
33,30142562217541,2774,05/33,742,5446.02,46227.06
34,3593819736842758,1476,02/35,295,44549.68,17314.33
35,4851333224412129,975,06/32,160,2817.77,47983.79
36,30201541012173,2959,06/25,209,12811.83,40154.97
37,379051574060832,1809,08/29,429,48031.49,9870.28
38,4113875983420879,1217,01/30,156,30548.91,1740.59
39,6011319934720580,846,12/29,771,44663.41,8303.33
40,4139234103874526,2710,09/26,873,37627.62,11107.27
41,3598999776526621,477,01/26,334,49725.41,25144.42
42,2285098606478531,115,05/28,984,10747.37,9786.65
43,6011355853124677,2642,11/25,913,26878.12,24134.42
44,570540900125,1509,07/31,343,46997.68,23681.49
45,4353790139771951240,483,02/26,932,1962.38,36492.47
46,6570076423390399,730,02/27,553,26176.28,23921.71
47,3594706777981414,2241,12/32,911,35751.35,26546.7
48,2233030436956330,2492,10/28,114,14209.08,9452.24
49,4857887755837339,1325,08/31,928,22765.4,27234.42
50,213156307803042,1204,01/32,587,30956.12,40336.69
51,180091287525969,360,03/29,3714,20059.58,1500.78
52,2253380715984767,2851,07/27,681,12070.39,14636.53
53,3588699175226987,1215,03/31,554,19120.25,21049.05
54,4968942390828,184,12/29,838,16041.3,1261.54
55,4363633831246930,2306,02/35,595,1026.26,42542.56
56,4285681027875330,445,03/26,972,49939.49,13464.94
57,4932797260277145402,1225,12/25,101,37117.41,22662.84
58,3596925392345460,2937,01/33,678,19980.54,22259.24
59,373590732309694,1692,06/28,215,25398.59,30668.59
60,4149897248624143,2404,01/34,368,32089.92,33706.14
61,2222355285886681,1447,06/28,133,18958.07,9638.35
62,3500327124257201,2987,04/25,876,48173.74,3097.91
63,4479884679244,321,05/28,850,38206.52,35888.56
64,30069048002884,2470,07/33,856,13176.52,14483.33
65,582327387608,2997,09/30,689,8641.29,38159.8
66,6565489526466619,466,01/28,033,21903.16,2343.2
67,4966198362210,2484,12/25,5280,6796.75,19465.49
68,6011709879037166,678,08/33,402,47537.94,6652.34
69,4546372582213589,2705,11/29,804,1199.59,22000.76
70,4909704703280752128,2178,09/32,275,34620.16,33681.93
71,30500825304358,1174,05/27,834,27534.75,27588.34
72,3513427251284807,2837,08/28,232,7411.01,32494.21
73,213167017346115,2648,05/32,397,24215.13,15140.05
74,4924049941728745,2531,10/30,891,48212.31,26406.0
75,213146240928584,1874,12/30,928,1139.99,35824.32
76,375038946862783,2577,09/28,192,18370.86,33204.18
77,30429750480415,2825,12/27,702,9392.76,20247.6
78,4744401617887271,915,08/29,567,49283.27,14984.36
79,4205912935396565,1001,09/26,946,6454.34,3243.75
80,3594070302618375,2210,10/25,580,49726.52,29550.37
81,4004920498849782462,2812,05/30,7850,4078.4,14254.73
82,374399911540270,411,10/30,260,11491.84,45582.83
83,4022955849419,857,08/30,601,4690.19,33148.21
84,4371657284213,2926,05/28,530,38911.25,33648.06
85,503844539315,2704,11/29,519,15949.71,35164.99
86,639017718847,1813,09/28,661,44053.56,3040.86
87,372413582201609,458,03/33,195,46025.09,43847.1
88,30430525393925,2803,06/34,502,39729.33,15601.02
89,213160312254712,1817,09/33,776,39335.67,25122.71
90,4180626214767,865,09/25,325,46680.65,26465.95
91,213129130418023,96,04/31,244,45832.45,38544.62
92,376372130566317,1278,06/25,023,2705.72,15028.87
93,4019925333427031631,220,07/31,562,33282.97,29218.33
94,4542497079018243,1703,10/31,665,31986.82,36395.56
95,2298109853758916,883,12/33,721,1582.94,32820.72
96,6564929916774206,1216,01/27,366,5640.25,16666.77
97,3586014056047183,1401,03/32,025,26931.42,23508.83
98,4601837580879944453,1353,03/32,941,42482.13,27567.03
99,6580982517135582,2930,12/27,525,40800.97,23903.54
100,180085762000217,723,07/28,843,43019.51,33941.61
101,6011950491889507,936,11/25,491,1271.99,15233.29
102,6543770219678975,86,12/34,316,5737.96,10327.33
103,4444940006003357692,2563,12/26,108,40512.36,1596.41
104,3508146033181035,1818,11/26,513,39110.77,7182.95
105,4411875638792357976,737,07/26,726,29866.01,10958.72
106,4575568166194491429,2768,12/30,682,36311.15,44711.14
107,4954653287437,187,04/26,444,11039.46,22669.48
108,4126843513861,1248,07/25,311,17146.37,22070.29
109,4100251351312,980,05/27,202,31530.61,7966.34
110,3599203666411716,1154,05/28,576,9938.08,15893.71
111,4907893276352477,2074,09/33,098,43077.88,16773.93
112,4827374989095,141,11/27,841,44832.47,39626.86
113,4899270909462637,1716,03/32,542,19235.52,44544.51
114,4359612595531048,1553,05/25,316,34806.1,35313.93
115,4885801891136,2159,11/26,616,33429.68,6736.51
116,3530891866543403,1134,03/35,896,36416.22,45505.73
117,2272306154646648,652,12/27,646,32392.66,17904.95
118,3515265240771999,1873,12/29,771,29673.08,15203.23
119,180067724677027,2089,07/29,379,16303.81,7242.77
120,4617997178634,1508,06/33,014,23200.78,23800.81
121,4017721738055312,2611,11/30,525,9296.22,37794.88
122,2259690510586136,2127,09/29,574,10880.15,308.77
123,6513145976444141,454,09/34,701,36575.59,25281.58
124,501888772644,1067,05/28,289,6942.29,35865.02
125,180027573593444,2543,05/25,935,10412.95,42987.97
126,4087917898062012812,2431,12/25,294,49806.15,33572.17
127,4697173253920123,1975,04/26,130,21363.07,42445.96
128,3558234671795511,980,02/29,146,13204.29,38744.95
129,2585622182350579,400,04/34,804,49281.4,34863.77
130,30237083643710,1088,01/34,5316,15414.99,34560.04
131,3566860442187289,626,10/28,054,27367.83,14994.97
132,4913076806440165115,431,04/29,972,18414.49,44374.18
133,3550348081501406,2449,09/30,419,26333.22,6572.22
134,4684178187855365,670,06/27,8713,6756.78,44570.71
135,3577736875111326,2016,08/31,839,15664.59,5573.84
136,675998728249,1523,01/28,0048,20828.24,6448.66
137,3557387258370610,56,12/27,121,22931.12,44739.73
138,30328234010535,2597,09/30,362,41503.89,39680.6
139,6569114601521460,661,10/30,438,15080.51,46464.27
140,4090084560466721,2168,11/31,505,6468.9,16602.64
141,584281059074,792,07/26,333,18644.95,25521.22
142,6011749025182557,2253,07/33,404,22668.23,40953.93
143,630434117960,558,12/32,3181,36840.36,22895.43
144,4567605106587048107,2209,05/30,158,36968.28,24743.66
145,4022684908452,2832,06/31,937,8594.98,42241.52
146,6011003856381908,1678,10/25,875,33263.42,22107.99
147,3550922933891544,2327,02/32,438,16683.03,23030.29
148,3520463317159569,2487,06/28,941,29497.05,10460.41
149,4385058821583619,1484,01/31,378,29249.96,17222.55
150,4116627625634715,1638,05/30,690,41560.26,45161.18
151,6011384553679426,1139,02/29,734,11377.22,46501.32
152,4674742383029950,1108,07/34,246,22055.35,18750.96
153,30388901074362,2901,09/31,446,21099.55,33106.11
154,4067759576304318,2005,05/32,187,3552.08,20139.63
155,3551248593802749,2839,11/29,936,27376.22,27032.33
156,4160281696879117,2353,06/32,3121,41264.63,24976.93
157,6569875703401088,78,11/34,539,5228.97,924.99
158,2625134679857118,1079,08/30,638,28548.78,23570.91
159,38283951709920,729,11/34,097,9801.02,2371.02
160,3504558874590237,1043,01/30,019,45489.04,23628.32
161,3542452075582579,397,08/29,870,46564.37,9147.66
162,213103305135928,2039,08/28,2110,28789.25,16024.32
163,6528279400452322,927,12/33,520,38509.61,31081.11
164,4772623785492965,872,10/25,110,46465.37,6341.95
165,4257772563691365,1723,03/35,942,35584.77,16210.15
166,4823433146232467,791,07/31,746,20938.09,33343.51
167,4651806681447,2700,09/31,847,8245.98,11306.75
168,3558917764551367,568,03/35,259,37239.44,30540.05
169,4201198263195737735,2899,08/25,984,21030.64,474.43
170,676163761395,959,12/34,328,31352.71,20799.36
171,630477379550,2678,01/29,697,22372.35,24020.03
172,4997930802649611,1013,01/35,265,19866.22,36242.09
173,6011317314577414,1438,04/33,754,19658.16,17396.33
174,3564928964764918,1503,01/33,421,19456.07,2695.05
