cust_id,first_name,last_name,email,phone,address,DOB,cust_since,salary_bracket
1,Jennifer,Schmidt,carsonchristine@example.com,+1-635-354-5175x4209,"75987 Andrews Alley Apt. 641, Michaelview, AZ 18555",1968-06-12,2021-08-10,medium
2,Brenda,Archer,zrivera@example.org,736.502.9799x31329,"77170 Hensley Gateway Suite 954, Samanthamouth, WA 80748",1951-08-29,2006-08-24,medium
3,Randall,Snyder,benjamin86@example.com,001-670-753-7264,"Unit 5726 Box 7330, DPO AE 59163",2006-07-21,2024-08-07,high
4,Matthew,Campbell,pschwartz@example.org,001-512-730-4441x050,"724 Sims Mount, Garciafurt, NY 37913",2006-10-29,2024-12-10,high
5,Collin,Carter,william23@example.net,3796260248,"774 Fernando Ridges, Penahaven, IL 13412",1975-07-12,2007-09-23,medium
6,Jesus,Watson,brooke71@example.org,637-347-7876x188,"458 Chang Parkways, Christopherchester, ME 60144",1987-04-16,2016-11-26,high
7,Martin,Salas,banksangela@example.org,+1-340-910-1604x4738,"606 Gordon Inlet Suite 037, Jenniferville, MS 29276",1953-10-29,2021-11-18,low
8,Jeffrey,Miller,tinawarren@example.org,001-211-793-5776x591,"624 Ryan Motorway, North Ronaldport, CA 47753",1996-12-07,2021-10-01,medium
9,Wyatt,Green,joshua72@example.com,374.639.6661x6210,"9323 Dennis Square, New Melissamouth, WI 94711",1952-02-29,1976-03-18,medium
10,Andrea,Martinez,scooper@example.org,001-512-726-2065x889,"278 Clark Fort, Santiagoview, WY 86319",1983-07-24,2019-04-17,medium
11,William,Harrell,daisyroberson@example.net,+1-966-335-6814,"17612 Charles Lane, Lopeztown, NY 43342",1979-08-04,2011-06-05,medium
12,Michelle,Lucas,bmckenzie@example.com,(716)543-0618x08000,"6278 Herrera Plaza Suite 762, Rachelview, VA 31371",1997-03-02,2021-06-22,medium
13,Carol,Miranda,greenbrenda@example.org,+1-941-425-0353x5990,"629 Laura Mountain Suite 347, Adamsberg, IA 70675",1978-02-12,2021-05-07,high
14,Kristen,Porter,smithdaniel@example.net,300-270-1518x341,"804 Fitzgerald Shoal, West Steveton, VI 81528",1975-02-20,2014-07-18,low
15,James,Brewer,tanyasmith@example.org,739-626-2310x312,"53033 Stephanie Shore, Pagebury, PW 96497",1994-04-18,2023-07-09,medium
16,Julie,Wagner,ebaker@example.org,001-325-676-2876,"5174 Rebecca Manors, West Christopher, CO 40010",2003-03-18,2022-04-24,high
17,Crystal,Davis,graynicole@example.org,435-539-2828x46712,"08657 Alexander Fords Apt. 611, Davidshire, IA 41983",1947-08-30,2010-05-29,medium
18,Kurt,Martin,teresavalentine@example.org,(458)472-9195x095,"1365 Alvarado Lights Suite 339, New Jennifer, PR 92411",2006-05-10,2024-08-16,low
19,Evelyn,Johnson,travisedward@example.net,305.596.0797x6034,"329 Rodgers Brooks, Butlerberg, ME 46346",1999-07-04,2024-06-30,high
20,Hannah,Maxwell,veronicagray@example.org,(900)604-7013x0462,"79715 Robert Extensions Apt. 510, Raymondborough, TX 05571",1976-04-14,2004-05-12,low
21,Andre,Williams,jfields@example.net,+1-529-630-0519x60390,"187 Wells Motorway Suite 591, Melanietown, RI 79851",1955-06-17,1984-12-25,low
22,Julie,Haynes,wagnerwendy@example.com,(386)789-7142,"9047 Angelica Pine Suite 404, South William, VA 90396",1977-08-14,2000-09-30,low
23,Robert,Torres,mcconnelljoshua@example.net,729.985.0161x238,"35163 Doyle Squares, East Patrick, CA 00589",2005-09-24,2024-11-21,medium
24,Michelle,Sweeney,lauragarcia@example.org,(545)803-7016x19798,"0583 Pace Spur, Jamesside, TN 01503",1962-06-06,2011-09-01,high
25,John,Simpson,fisherjoel@example.com,001-397-246-5818x0448,"791 Barbara Land, Figueroamouth, VI 51751",1952-04-02,1997-02-11,medium
26,Richard,Phillips,ktran@example.org,(960)619-3869,"458 Andrade Lights Apt. 151, Paigeview, ND 09673",1967-05-29,2014-04-02,low
27,Jeremy,Walter,simpsonjane@example.org,001-385-591-6964x4483,"840 Jeffrey Spurs, Lake Ashley, RI 65939",2003-01-23,2023-12-28,medium
28,Joshua,Oconnor,oolson@example.org,+1-633-880-6354x989,"456 Brown Rapid, Richardberg, IN 57736",2007-03-14,2025-03-12,low
29,Raymond,Hamilton,tara82@example.com,(754)657-0827,"0980 Shah Mall, Wilsonfurt, CO 13732",1989-11-20,2022-04-27,high
30,Mikayla,Erickson,ashleyfoley@example.org,202.718.0586x375,"Unit 6980 Box 9764, DPO AE 18474",1980-06-19,2011-11-27,medium
31,Jodi,Cox,ibarrasarah@example.org,(836)927-5860x49443,"PSC 5997, Box 8982, APO AA 10581",1991-07-11,2020-05-15,medium
32,Jose,Mcdonald,brucebenton@example.net,9046054239,"10195 Ochoa Crossing, Christinaton, CA 60607",2004-02-27,2023-02-05,medium
33,Tammy,Pearson,williammoran@example.net,+1-840-525-6879x3391,"2548 Hernandez Club Apt. 339, Kylechester, NJ 99737",1951-08-07,1981-01-30,medium
34,Kenneth,Wilson,qpatterson@example.org,+1-222-234-1896x7925,"4291 Melissa Views Apt. 501, Taylorshire, AZ 60452",1959-11-19,2021-09-10,high
35,Nathaniel,Escobar,audrey68@example.org,696-379-5788x22036,"15774 Michael Field, Joshuashire, WI 99919",1972-06-07,2016-03-20,low
36,Tracy,Williams,christine51@example.com,(588)559-8568,"379 Johnson Roads Apt. 154, West Timothymouth, VI 01380",1957-01-28,2020-09-13,low
37,Gary,Elliott,hstewart@example.net,473.771.8900x97863,"736 Jerry Parkways, Stevenfurt, AL 49657",1954-11-25,2012-11-09,high
38,Diane,Salinas,adam67@example.com,001-232-880-9826x261,"33793 Larry Streets Suite 661, Jenniferton, MT 37025",1995-10-18,2015-11-30,high
39,Aaron,Dominguez,dale69@example.org,001-957-286-8186x114,"695 Nelson Mills Suite 358, Port Seanstad, SD 44770",1969-03-26,2021-04-11,medium
40,James,Johnson,travishernandez@example.org,001-706-634-1303,"4445 Sydney Islands, Daychester, IA 60715",1958-04-28,1983-03-19,low
41,Brittany,Taylor,robert80@example.org,(322)832-3163x8799,"1346 Tammy Crossing Apt. 214, Welchport, ME 02050",1970-06-04,1996-10-12,high
42,Melinda,Blackburn,ajohnson@example.net,(245)335-4020,"USNS Bowman, FPO AA 34711",2006-01-10,2024-03-16,low
43,Alicia,Garcia,mistycaldwell@example.net,322-515-6083,"39041 Henderson Highway Apt. 533, West Danielport, HI 38736",1946-05-03,1999-03-05,medium
44,Mark,Richardson,eross@example.org,001-832-571-0904x6893,"8746 Reeves Center Suite 303, New Anthony, AR 03977",1951-02-06,2016-04-27,high
45,Gregory,Andersen,martinduncan@example.org,4337925950,"7765 Hopkins Forks, Lake Robin, MA 72320",1983-06-06,2019-11-16,low
46,Debbie,Green,kristopherserrano@example.org,202.612.2652x42528,"061 Dan Grove, Davidport, AK 67172",1963-02-18,2019-10-13,high
47,Lindsey,Medina,gmartinez@example.org,001-485-856-4449x02841,"584 James View Apt. 479, South Joshua, ID 88112",1972-12-01,2005-12-13,high
48,Jamie,Hunter,victoria40@example.com,266-263-2703x28345,"5576 Stephen Stravenue, Port Austinborough, SC 14251",1954-12-06,1978-02-14,low
49,Scott,Spence,heatherwalker@example.com,+1-860-967-8678x14109,"834 Smith Walk, Hendrickston, IL 81695",2004-12-02,2023-10-02,medium
50,Russell,Kelly,cunninghamralph@example.org,+1-316-720-4985x16733,"92694 King Knolls Suite 823, North Bethanyfurt, GA 50122",1963-11-11,2011-10-14,low
